iter	Passed	Remaining
0	4	4828
1	12	6113
2	20	6828
3	28	7035
4	35	7118
5	43	7161
6	50	7160
7	57	7107
8	64	7077
9	71	7061
10	77	7000
11	84	6991
12	91	6967
13	98	6957
14	105	6936
15	112	6913
16	119	6885
17	125	6859
18	132	6829
19	138	6807
20	145	6790
21	153	6812
22	160	6800
23	166	6780
24	173	6762
25	180	6752
26	187	6741
27	193	6731
28	201	6747
29	209	6771
30	216	6767
31	223	6771
32	231	6780
33	238	6779
34	246	6795
35	253	6797
36	260	6791
37	268	6787
38	276	6804
39	283	6801
40	290	6803
41	298	6812
42	305	6809
43	313	6801
44	324	6876
45	331	6865
46	338	6871
47	346	6875
48	354	6873
49	361	6863
50	368	6851
51	375	6848
52	382	6833
53	389	6825
54	396	6817
55	404	6812
56	411	6811
57	418	6801
58	426	6807
59	434	6803
60	441	6799
61	448	6789
62	456	6791
63	464	6787
64	471	6783
65	478	6773
66	485	6762
67	492	6754
68	499	6745
69	506	6732
70	513	6725
71	520	6712
72	527	6698
73	535	6698
74	541	6682
75	548	6663
76	555	6652
77	562	6646
78	569	6637
79	576	6630
80	583	6621
81	589	6603
82	596	6592
83	602	6570
84	609	6562
85	616	6548
86	623	6539
87	629	6520
88	635	6500
89	641	6487
90	647	6467
91	653	6448
92	659	6434
93	665	6413
94	671	6399
95	678	6385
96	684	6369
97	690	6352
98	696	6340
99	702	6326
100	709	6313
101	715	6297
102	720	6274
103	725	6254
104	731	6238
105	737	6220
106	743	6203
107	748	6183
108	754	6166
109	760	6150
110	766	6136
111	773	6130
112	779	6118
113	785	6102
114	791	6091
115	797	6079
116	804	6070
117	810	6059
118	817	6049
119	823	6038
120	829	6024
121	835	6014
122	841	6002
123	847	5987
124	852	5970
125	859	5961
126	865	5949
127	871	5934
128	876	5919
129	882	5904
130	888	5891
131	893	5877
132	899	5864
133	905	5853
134	911	5839
135	916	5825
136	922	5811
137	927	5796
138	934	5790
139	941	5781
140	947	5774
141	954	5764
142	960	5758
143	967	5750
144	973	5742
145	980	5734
146	987	5728
147	993	5721
148	999	5711
149	1007	5707
150	1013	5696
151	1019	5685
152	1024	5671
153	1029	5657
154	1035	5644
155	1040	5629
156	1046	5618
157	1051	5604
158	1056	5589
159	1062	5575
160	1067	5564
161	1073	5554
162	1079	5542
163	1085	5533
164	1091	5521
165	1096	5508
166	1101	5494
167	1106	5481
168	1112	5469
169	1117	5457
170	1123	5445
171	1128	5432
172	1134	5422
173	1140	5411
174	1145	5401
175	1151	5391
176	1157	5379
177	1162	5369
178	1168	5358
179	1173	5347
180	1179	5336
181	1185	5326
182	1190	5314
183	1195	5302
184	1201	5292
185	1207	5283
186	1213	5275
187	1219	5266
188	1225	5259
189	1231	5251
190	1238	5245
191	1243	5235
192	1249	5225
193	1255	5217
194	1261	5206
195	1267	5197
196	1273	5189
197	1278	5179
198	1284	5170
199	1290	5162
200	1296	5153
201	1301	5143
202	1307	5134
203	1313	5124
204	1319	5117
205	1326	5111
206	1331	5102
207	1337	5093
208	1343	5084
209	1349	5075
210	1355	5067
211	1362	5062
212	1368	5056
213	1374	5048
214	1380	5040
215	1386	5032
216	1392	5023
217	1397	5014
218	1404	5010
219	1410	5001
220	1415	4991
221	1423	4990
222	1429	4981
223	1437	4978
224	1442	4969
225	1448	4960
